# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of AOI22 T0 W1
C Cin__VSS__hl__ACQ_1 of AOI22 T1 W1
C Cin__VSS__lh__ACQ_1 of AOI22 T2 W1
C delay__VA__hl__OUT__lh__ACQ_1 of AOI22 T3 W1
C delay__VA__lh__OUT__hl__ACQ_1 of AOI22 T4 W1
C delay__VB__hl__OUT__lh__ACQ_1 of AOI22 T5 W1
C delay__VB__lh__OUT__hl__ACQ_1 of AOI22 T6 W1
C delay__VC__hl__OUT__lh__ACQ_1 of AOI22 T7 W1
C delay__VC__lh__OUT__hl__ACQ_1 of AOI22 T8 W1
C delay__VD__hl__OUT__lh__ACQ_1 of AOI22 T9 W1
C delay__VD__lh__OUT__hl__ACQ_1 of AOI22 T10 W1
C Cin__VDD__hl__ACQ_1 of AOI22 T11 W1
C Cin__VDD__lh__ACQ_1 of AOI22 T12 W1
